Rank,Word,Word in English,Happiness Score,Standard Deviation of Ratings
10014,stealing,stealing,2.46,1.31
10013,steal,steal,2.46,1.68
10012,panic,panic,2.46,1.34
10011,losses,losses,2.46,1.45
10010,crashed,crashed,2.46,1.4
10009,attacks,attacks,2.46,1.46
10008,slap,slap,2.48,1.53
10007,saddam,saddam,2.48,1.57
10006,recession,recession,2.48,1.5
10005,haters,haters,2.48,1.55
10004,damaged,damaged,2.48,1.03
10003,crisis,crisis,2.48,1.67
10002,stolen,stolen,2.5,1.39
10001,shot,shot,2.5,1.66
10000,shit,shit,2.5,1.52
9999,psycho,psycho,2.5,1.47
9998,betray,betray,2.5,1.63
9997,motherfuckers,motherfuckers,2.51,2.47
9996,useless,useless,2.52,1.42
9995,shooting,shooting,2.52,1.74
9994,failing,failing,2.52,1.27
9993,destroy,destroy,2.52,1.81
9992,bastard,bastard,2.52,1.3
9991,attacked,attacked,2.52,1.55
9990,tumor,tumor,2.53,2
9989,ruined,ruined,2.54,1.62
9988,pissed,pissed,2.54,1.33
9987,miserable,miserable,2.54,1.67
9986,hurricane,hurricane,2.54,1.57
9985,harm,harm,2.54,1.45
9984,denied,denied,2.54,1.2
9983,cocaine,cocaine,2.54,1.83
9982,broke,broke,2.54,1.28
9981,abandoned,abandoned,2.54,1.37
9980,corpse,corpse,2.55,1.96
9979,upset,upset,2.56,1.43
9978,satan,satan,2.56,2.13
9977,rage,rage,2.56,1.51
9976,loss,loss,2.56,1.5
9975,hopeless,hopeless,2.56,1.66
9974,grave,grave,2.56,1.85
9973,beating,beating,2.56,1.9
9972,assault,assault,2.56,1.66
9971,nightmares,nightmares,2.56,1.65
9970,betrayed,betrayed,2.57,1.83
9969,stroke,stroke,2.58,1.6
9968,starving,starving,2.58,1.47
9967,shitty,shitty,2.58,1.57
9966,scary,scary,2.58,1.73
9965,scared,scared,2.58,1.43
9964,rotten,rotten,2.58,1.6
9963,motherfuckin,motherfuckin,2.58,2.3
9962,lying,lying,2.58,1.7
9961,guilt,guilt,2.58,1.46
9960,disgusting,disgusting,2.58,1.47
9959,damage,damage,2.58,1.5
9958,cheated,cheated,2.58,1.59
9957,blind,blind,2.58,1.23
9956,annoyed,annoyed,2.58,1.64
9955,infections,infections,2.59,1.91
9954,ashamed,ashamed,2.59,1.31
9953,worries,worries,2.6,1.32
9952,stole,stole,2.6,1.41
9951,selfish,selfish,2.6,1.05
9950,mad,mad,2.6,1.32
9949,lie,lie,2.6,1.62
9948,error,error,2.6,0.81
9947,crash,crash,2.6,1.37
9946,brutal,brutal,2.6,2.08
9945,abortion,abortion,2.6,1.53
9944,thugs,thugs,2.61,2.08
9943,violated,violated,2.62,1.38
9942,threatened,threatened,2.62,1.47
9941,rude,rude,2.62,1.64
9940,retarded,retarded,2.62,1.54
9939,nasty,nasty,2.62,1.23
9938,losing,losing,2.62,1.18
9937,lies,lies,2.62,1.38
9936,beaten,beaten,2.62,1.59
9935,heartaches,heartaches,2.63,2.02
9934,sin,sin,2.64,1.7
9933,motherfucking,motherfucking,2.64,2.46
9932,inflation,inflation,2.64,1.34
9931,guilty,guilty,2.64,1.59
9930,enemy,enemy,2.64,1.32
9929,demons,demons,2.64,2.07
9928,curse,curse,2.64,1.35
9927,bad,bad,2.64,1.47
9926,tensions,tensions,2.66,1.26
9925,surgery,surgery,2.66,1.75
9924,penalties,penalties,2.66,1.08
9923,loneliness,loneliness,2.66,1.81
9922,drugs,drugs,2.66,1.64
9921,ban,ban,2.66,1.32
9920,afraid,afraid,2.66,1.51
9919,deaf,deaf,2.67,1.33
9918,trash,trash,2.68,1.22
9917,stupid,stupid,2.68,1.22
9916,shame,shame,2.68,1.3
9915,ruin,ruin,2.68,1.57
9914,misery,misery,2.68,2.04
9913,jealous,jealous,2.68,1.2
9912,injuries,injuries,2.68,1.5
9911,fears,fears,2.68,1.27
9910,bastards,bastards,2.68,1.52
9909,ache,ache,2.68,1.2
9908,bleed,bleed,2.69,1.57
9907,sorrows,sorrows,2.69,1.78
9906,worse,worse,2.7,1.42
9905,waste,waste,2.7,1.05
9904,taxes,taxes,2.7,1.53
9903,spam,spam,2.7,1.37
9902,fight,fight,2.7,1.74
9901,distress,distress,2.7,1.42
9900,desperation,desperation,2.7,1.91
9899,struggling,struggling,2.72,1.21
9898,mourn,mourn,2.72,1.88
9897,heartbreaker,heartbreaker,2.72,1.73
9896,disgrace,disgrace,2.72,1.41
9895,arrests,arrests,2.72,1.59
9894,addiction,addiction,2.72,1.46
9893,unholy,unholy,2.73,1.4
9892,violation,violation,2.74,1.08
9891,ugly,ugly,2.74,1.44
9890,stressed,stressed,2.74,1.12
9889,loses,loses,2.74,1.24
9888,defeated,defeated,2.74,1.61
9887,neglect,neglect,2.76,2.17
9886,unfortunately,unfortunately,2.76,1.57
9885,pathetic,pathetic,2.76,1.29
9884,lost,lost,2.76,1.39
9883,lose,lose,2.76,1.1
9882,fighting,fighting,2.76,1.57
9881,bleeding,bleeding,2.76,1.66
9880,bitches,bitches,2.76,1.92
9879,wasted,wasted,2.78,1.17
9878,troubled,troubled,2.78,1.43
9877,trouble,trouble,2.78,1.47
9876,mistake,mistake,2.78,1.2
9875,fever,fever,2.78,1.56
9874,cowards,cowards,2.78,1.36
9873,burns,burns,2.78,1.45
9872,wounds,wounds,2.8,2.02
9871,mafia,mafia,2.81,1.79
9870,worry,worry,2.82,1.71
9869,prosecution,prosecution,2.82,1.51
9868,obituary,obituary,2.82,1.7
9867,mourners,mourners,2.82,1.6
9866,missiles,missiles,2.82,1.59
9865,lied,lied,2.82,1.21
9864,gun,gun,2.82,1.41
9863,filthy,filthy,2.82,1.83
9862,discrimination,discrimination,2.82,1.49
9861,disabled,disabled,2.82,1.19
9860,despair,despair,2.82,2.01
9859,demise,demise,2.82,1.73
9858,danger,danger,2.82,1.64
9857,complaining,complaining,2.82,1.14
9856,burden,burden,2.82,1.53
9855,blame,blame,2.82,1.53
9854,bills,bills,2.82,1.64
9853,annoying,annoying,2.82,1.32
9852,weak,weak,2.84,1.25
9851,unkind,unkind,2.84,1.88
9850,terrible,terrible,2.84,1.81
9849,penalty,penalty,2.84,1.31
9848,neglected,neglected,2.84,1.75
9847,infection,infection,2.84,1.65
9846,incorrect,incorrect,2.84,1.02
9845,hater,hater,2.84,1.88
9844,dump,dump,2.84,1.33
9843,devils,devils,2.84,1.71
9842,buried,buried,2.84,1.42
9841,addict,addict,2.84,1.31
9840,widow,widow,2.86,1.87
9839,violations,violations,2.86,1.43
9838,tax,tax,2.86,1.41
9837,stress,stress,2.86,1.6
